Character,Game
Mario,Mario Kart 8 Deluxe
Luigi,Mario Kart 8 Deluxe
Peach,Mario Kart 8 Deluxe
Daisy,Mario Kart 8 Deluxe
Rosalina,Mario Kart 8 Deluxe
Yoshi,Mario Kart 8 Deluxe
Toad,Mario Kart 8 Deluxe
Koopa,Mario Kart 8 Deluxe
Shy Guy,Mario Kart 8 Deluxe
Lakitu,Mario Kart 8 Deluxe
Toadette,Mario Kart 8 Deluxe
Bowser,Mario Kart 8 Deluxe
Donkey Kong,Mario Kart 8 Deluxe
Wario,Mario Kart 8 Deluxe
Waluigi,Mario Kart 8 Deluxe
Lemmy,Mario Kart 8 Deluxe
Larry,Mario Kart 8 Deluxe
Wendy,Mario Kart 8 Deluxe
Ludwig,Mario Kart 8 Deluxe
Iggy,Mario Kart 8 Deluxe
Roy,Mario Kart 8 Deluxe
Morton,Mario Kart 8 Deluxe
Mii,Mario Kart 8 Deluxe
Tanooki Mario,Mario Kart 8 Deluxe
Cat Peach,Mario Kart 8 Deluxe
Baby Mario,Mario Kart 8 Deluxe
Baby Luigi,Mario Kart 8 Deluxe
Baby Peach,Mario Kart 8 Deluxe
Baby Daisy,Mario Kart 8 Deluxe
Baby Rosalina,Mario Kart 8 Deluxe
Metal Mario,Mario Kart 8 Deluxe
Pink Gold Peach,Mario Kart 8 Deluxe
Link,Mario Kart 8 Deluxe
Isabelle,Mario Kart 8 Deluxe
King Boo,Mario Kart 8 Deluxe
Dry Bones,Mario Kart 8 Deluxe
Bowser Jr,Mario Kart 8 Deluxe
Birdo,Mario Kart 8 Deluxe
Petey Piranha,Mario Kart 8 Deluxe
Wiggler,Mario Kart 8 Deluxe
Kamek,Mario Kart 8 Deluxe
Diddy Kong,Mario Kart 8 Deluxe
Funky Kong,Mario Kart 8 Deluxe
Pauline,Mario Kart 8 Deluxe
Peachette,Mario Kart 8 Deluxe
Inkling Boy,Mario Kart 8 Deluxe
Inkling Girl,Mario Kart 8 Deluxe
Villager (M),Mario Kart 8 Deluxe
Villager (F),Mario Kart 8 Deluxe
Dry Bowser,Mario Kart 8 Deluxe
Mario,Mario Kart World
Luigi,Mario Kart World
Peach,Mario Kart World
Daisy,Mario Kart World
Yoshi,Mario Kart World
Donkey Kong,Mario Kart World
Bowser,Mario Kart World
Bowser Jr.,Mario Kart World
Koopa Troopa,Mario Kart World
Toad,Mario Kart World
Toadette,Mario Kart World
Lakitu,Mario Kart World
King Boo,Mario Kart World
Shy Guy,Mario Kart World
Wario,Mario Kart World
Waluigi,Mario Kart World
Birdo,Mario Kart World
Pauline,Mario Kart World
Rosalina,Mario Kart World
Baby Mario,Mario Kart World
Baby Luigi,Mario Kart World
Baby Peach,Mario Kart World
Baby Daisy,Mario Kart World
Baby Rosalina,Mario Kart World
Nabbit,Mario Kart World
Goomba,Mario Kart World
Dry Bones,Mario Kart World
Piranha Plant,Mario Kart World
Spike,Mario Kart World
Wiggler,Mario Kart World
Hammer Bro,Mario Kart World
Sidestepper,Mario Kart World
Cataquack,Mario Kart World
Monty Mole,Mario Kart World
Cheep Cheep,Mario Kart World
Pianta,Mario Kart World
Rocky Wrench,Mario Kart World
Conkdor,Mario Kart World
Swoop,Mario Kart World
Pokey,Mario Kart World
Peepa,Mario Kart World
Stingby,Mario Kart World
Fish Bone,Mario Kart World
Coin Coffer,Mario Kart World
Cow,Mario Kart World
Snowman,Mario Kart World
Penguin,Mario Kart World
Dolphin,Mario Kart World
Para-Biddybud,Mario Kart World
Chargin' Chuck,Mario Kart World
Touring Mario,Mario Kart World
Pro Racer Mario,Mario Kart World
Mechanic Mario,Mario Kart World
Dune Rider Mario,Mario Kart World
Cowboy Mario,Mario Kart World
Sightseeing Mario,Mario Kart World
Aviator Mario,Mario Kart World
Happi Mario,Mario Kart World
All-Terrain Mario,Mario Kart World
Touring Luigi,Mario Kart World
Pro Racer Luigi,Mario Kart World
Mechanic Luigi,Mario Kart World
Oasis Luigi,Mario Kart World
Farmer Luigi,Mario Kart World
Happi Luigi,Mario Kart World
All-Terrain Luigi,Mario Kart World
Gondolier Luigi,Mario Kart World
Touring Peach,Mario Kart World
Pro Racer Peach,Mario Kart World
Farmer Peach,Mario Kart World
Sightseeing Peach,Mario Kart World
Aviator Peach,Mario Kart World
Yukata Peach,Mario Kart World
Aero Peach,Mario Kart World
Vacation Peach,Mario Kart World
Touring Daisy,Mario Kart World
Pro Racer Daisy,Mario Kart World
Oasis Daisy,Mario Kart World
Swimwear Daisy,Mario Kart World
Aero Daisy,Mario Kart World
Vacation Daisy,Mario Kart World
Touring Yoshi,Mario Kart World
Pro Racer Yoshi,Mario Kart World
Aristocrat Yoshi,Mario Kart World
Soft Server Yoshi,Mario Kart World
Biker Yoshi,Mario Kart World
Swimwear Yoshi,Mario Kart World
Matsuri Yoshi,Mario Kart World
Food Slinger Yoshi,Mario Kart World
All-Terrain Donkey Kong,Mario Kart World
Pro Racer Bowser,Mario Kart World
Supercharged Bowser,Mario Kart World
Biker Bowser,Mario Kart World
All-Terrain Bowser,Mario Kart World
Pro Racer Bowser Jr.,Mario Kart World
Biker Jr. Bowser Jr.,Mario Kart World
Explorer Bowser Jr.,Mario Kart World
Runner Koopa Troopa,Mario Kart World
Pro Racer Koopa Troopa,Mario Kart World
Sailor Koopa Troopa,Mario Kart World
All-Terrain Koopa Troopa,Mario Kart World
Work Crew Koopa Troopa,Mario Kart World
Pro Racer Toad,Mario Kart World
Engineer Toad,Mario Kart World
Burger Bud Toad,Mario Kart World
Explorer Toad,Mario Kart World
Pro Racer Toadette,Mario Kart World
Conductor Toadette,Mario Kart World
Soft Server Toadette,Mario Kart World
Explorer Toadette,Mario Kart World
Pit Crew Lakitu,Mario Kart World
Fisherman Lakitu,Mario Kart World
Pro Racer King Boo,Mario Kart World
Aristocrat King Boo,Mario Kart World
Pirate King Boo,Mario Kart World
Pit Crew Shy Guy,Mario Kart World
Slope Styler Shy Guy,Mario Kart World
Pro Racer Wario,Mario Kart World
Oasis Wario,Mario Kart World
Wicked Wasp Wario,Mario Kart World
Biker Wario,Mario Kart World
Pirate Wario,Mario Kart World
Road Ruffian Wario,Mario Kart World
Work Crew Wario,Mario Kart World
Pro Racer Waluigi,Mario Kart World
Wampire Waluigi,Mario Kart World
Mariachi Waluigi,Mario Kart World
Biker Waluigi,Mario Kart World
Road Ruffian Waluigi,Mario Kart World
Pro Racer Birdo,Mario Kart World
Vacation Birdo,Mario Kart World
Aero Pauline,Mario Kart World
Touring Rosalina,Mario Kart World
Pro Racer Rosalina,Mario Kart World
Aurora Rosalina,Mario Kart World
Aero Rosalina,Mario Kart World
Pro Racer Baby Mario,Mario Kart World
Swimwear Baby Mario,Mario Kart World
Work Crew Baby Mario,Mario Kart World
Pro Racer Baby Luigi,Mario Kart World
Work Crew Baby Luigi,Mario Kart World
Touring Baby Peach,Mario Kart World
Pro Racer Baby Peach,Mario Kart World
Sailor Baby Peach,Mario Kart World
Explorer Baby Peach,Mario Kart World
Touring Baby Daisy,Mario Kart World
Pro Racer Baby Daisy,Mario Kart World
Sailor Baby Daisy,Mario Kart World
Explorer Baby Daisy,Mario Kart World
Touring Baby Rosalina,Mario Kart World
Pro Racer Baby Rosalina,Mario Kart World
Sailor Baby Rosalina,Mario Kart World
Explorer Baby Rosalina,Mario Kart World
