Costume,Character
Normal,Mario
Normal,Luigi
Normal,Peach
Normal,Daisy
Normal,Yoshi
Normal,Donkey Kong
Normal,Bowser
Normal,Bowser Jr.
Normal,Koopa Troopa
Normal,Toad
Normal,Toadette
Normal,Lakitu
Normal,King Boo
Normal,Shy Guy
Normal,Wario
Normal,Waluigi
Normal,Birdo
Normal,Pauline
Normal,Rosalina
Normal,Baby Mario
Normal,Baby Luigi
Normal,Baby Peach
Normal,Baby Daisy
Normal,Baby Rosalina
Normal,Nabbit
Normal,Goomba
Normal,Dry Bones
Normal,Piranha Plant
Normal,Spike
Normal,Wiggler
Normal,Hammer Bro
Normal,Sidestepper
Normal,Cataquack
Normal,Monty Mole
Normal,Cheep Cheep
Normal,Pianta
Normal,Rocky Wrench
Normal,Conkdor
Normal,Swoop
Normal,Pokey
Normal,Peepa
Normal,Stingby
Normal,Fish Bone
Normal,Coin Coffer
Normal,Cow
Normal,Snowman
Normal,Penguin
Normal,Dolphin
Normal,Para-Biddybud
Normal,Chargin' Chuck
Touring,Mario
Pro Racer,Mario
Mechanic,Mario
Dune Rider,Mario
Cowboy,Mario
Sightseeing,Mario
Aviator,Mario
Happi,Mario
All-Terrain,Mario
Touring,Luigi
Pro Racer,Luigi
Mechanic,Luigi
Oasis,Luigi
Farmer,Luigi
Happi,Luigi
All-Terrain,Luigi
Gondolier,Luigi
Touring,Peach
Pro Racer,Peach
Farmer,Peach
Sightseeing,Peach
Aviator,Peach
Yukata,Peach
Aero,Peach
Vacation,Peach
Touring,Daisy
Pro Racer,Daisy
Oasis,Daisy
Swimwear,Daisy
Aero,Daisy
Vacation,Daisy
Touring,Yoshi
Pro Racer,Yoshi
Aristocrat,Yoshi
Soft Server,Yoshi
Biker,Yoshi
Swimwear,Yoshi
Matsuri,Yoshi
Food Slinger,Yoshi
All-Terrain,Donkey Kong
Pro Racer,Bowser
Supercharged,Bowser
Biker,Bowser
All-Terrain,Bowser
Pro Racer,Bowser Jr.
Biker Jr.,Bowser Jr.
Explorer,Bowser Jr.
Runner,Koopa Troopa
Pro Racer,Koopa Troopa
Sailor,Koopa Troopa
All-Terrain,Koopa Troopa
Work Crew,Koopa Troopa
Pro Racer,Toad
Engineer,Toad
Burger Bud,Toad
Explorer,Toad
Pro Racer,Toadette
Conductor,Toadette
Soft Server,Toadette
Explorer,Toadette
Pit Crew,Lakitu
Fisherman,Lakitu
Pro Racer,King Boo
Aristocrat,King Boo
Pirate,King Boo
Pit Crew,Shy Guy
Slope Styler,Shy Guy
Pro Racer,Wario
Oasis,Wario
Wicked Wasp,Wario
Biker,Wario
Pirate,Wario
Road Ruffian,Wario
Work Crew,Wario
Pro Racer,Waluigi
Wampire,Waluigi
Mariachi,Waluigi
Biker,Waluigi
Road Ruffian,Waluigi
Pro Racer,Birdo
Vacation,Birdo
Aero,Pauline
Touring,Rosalina
Pro Racer,Rosalina
Aurora,Rosalina
Aero,Rosalina
Pro Racer,Baby Mario
Swimwear,Baby Mario
Work Crew,Baby Mario
Pro Racer,Baby Luigi
Work Crew,Baby Luigi
Touring,Baby Peach
Pro Racer,Baby Peach
Sailor,Baby Peach
Explorer,Baby Peach
Touring,Baby Daisy
Pro Racer,Baby Daisy
Sailor,Baby Daisy
Explorer,Baby Daisy
Touring,Baby Rosalina
Pro Racer,Baby Rosalina
Sailor,Baby Rosalina
Explorer,Baby Rosalina
