american,british,db_name
Mario Kart Stadium,Mario Kart Stadium,Mario Kart Stadium
Water Park,Water Park,Water Park
Sweet Sweet Canyon,Sweet Sweet Canyon,Sweet Sweet Canyon
Thwomp Ruins,Thwomp Ruins,Thwomp Ruins
Mario Circuit,Mario Circuit,Mario Circuit
Toad Harbor,Toad Harbour,Toad Harbour
Twisted Mansion,Twisted Mansion,Twisted Mansion
Shy Guy Falls,Shy Guy Falls,Shy Guy Falls
Sunshine Airport,Sunshine Airport,Sunshine Airport
Dolphin Shoals,Dolphin Shoals,Dolphin Shoals
Electrodrome,Electrodrome,Electrodrome
Mount Wario,Mount Wario,Mount Wario
Cloudtop Cruise,Cloudtop Cruise,Cloudtop Cruise
Bone-Dry Dunes,Bone Dry Dunes,Bone Dry Dunes
Bowser's Castle,Bowser's Castle,Bowser's Castle
Rainbow Road,Rainbow Road,Rainbow Road
Wii Moo Moo Meadows,Wii Moo Moo Meadows,Moo Moo Meadows (Wii)
GBA Mario Circuit,GBA Mario Circuit,Mario Circuit (GBA)
DS Cheep Cheep Beach,DS Cheep Cheep Beach,Cheep Cheep Beach (DS)
N64 Toad's Turnpike,N64 Toad's Turnpike,Toad's Turnpike (N64)
GCN Dry Dry Desert,GCN Dry Dry Desert,Dry Dry Desert (GCN)
SNES Donut Plains 3,SNES Donut Plains 3,Donut Plains 3 (SNES)
N64 Royal Raceway,N64 Royal Raceway,Royal Raceway (N64)
3DS DK Jungle,3DS DK Jungle,DK Jungle (3DS)
DS Wario Stadium,DS Wario Stadium,Wario Stadium (DS)
GCN Sherbet Land,GCN Sherbet Land,Sherbet Land (GCN)
3DS Music Park,3DS Melody Motorway,Melody Motorway (3DS)
N64 Yoshi Valley,N64 Yoshi Valley,Yoshi Valley (N64)
DS Tick-Tock Clock,DS Tick-Tock Clock,Tick-Tock Clock (DS)
3DS Piranha Plant Slide,3DS Piranha Plant Pipeway,Piranha Plant Pipeway (3DS)
Wii Grumble Volcano,Wii Grumble Volcano,Grumble Volcano (Wii)
N64 Rainbow Road,N64 Rainbow Road,Rainbow Road (N64)
GCN Yoshi Circuit,GCN Yoshi Circuit,Yoshi Circuit (GCN)
Excitebike Arena,Excitebike Arena,Excitebike Arena
Dragon Driftway,Dragon Driftway,Dragon Driftway
Mute City,Mute City,Mute City
Wii Wario's Gold Mine,Wii Wario's Gold Mine,Wario's Gold Mine (Wii)
SNES Rainbow Road,SNES Rainbow Road,Rainbow Road (SNES)
Ice Ice Outpost,Ice Ice Outpost,Ice Ice Outpost
Hyrule Circuit,Hyrule Circuit,Hyrule Circuit
GCN Baby Park,GCN Baby Park,Baby Park (GCN)
GBA Cheese Land,GBA Cheese Land,Cheese Land (GBA)
Wild Woods,Wild Woods,Wild Woods
Animal Crossing,Animal Crossing,Animal Crossing
3DS Neo Bowser City,3DS Koopa City,Koopa City (3DS)
GBA Ribbon Road,GBA Ribbon Road,Ribbon Road (GBA)
Super Bell Subway,Super Bell Subway,Super Bell Subway
Big Blue,Big Blue,Big Blue
Tour Paris Promenade,Tour Paris Promenade,Paris Promenade (Tour)
3DS Toad Circuit,3DS Toad Circuit,Toad Circuit (3DS)
N64 Choco Mountain,N64 Choco Mountain,Choco Mountain (N64)
Wii Coconut Mall,Wii Coconut Mall,Coconut Mall (Wii)
Tour Tokyo Blur,Tour Tokyo Blur,Tokyo Blur (Tour)
DS Shroom Ridge,DS Shroom Ridge,Shroom Ridge (DS)
GBA Sky Garden,GBA Sky Garden,Sky Garden (GBA)
Ninja Hideaway,Ninja Hideaway,Ninja Hideaway
Tour New York Minute,Tour New York Minute,New York Minute (Tour)
SNES Mario Circuit 3,SNES Mario Circuit 3,Mario Circuit 3 (SNES)
N64 Kalimari Desert,N64 Kalimari Desert,Kalimari Desert (N64)
DS Waluigi Pinball,DS Waluigi Pinball,Waluigi Pinball (DS)
Tour Sydney Sprint,Tour Sydney Sprint,Sydney Sprint (Tour)
GBA Snow Land,GBA Snow Land,Snow Land (GBA)
Wii Mushroom Gorge,Wii Mushroom Gorge,Mushroom Gorge (Wii)
Sky-High Sundae,Sky-High Sundae,Sky-High Sundae
Tour London Loop,Tour London Loop,London Loop (Tour)
GBA Boo Lake,GBA Boo Lake,Boo Lake (GBA)
3DS Rock Rock Mountain,3DS Alpine Pass,Alpine Pass (3DS)
Wii Maple Treeway,Wii Maple Treeway,Maple Treeway (Wii)
Tour Berlin Byways,Tour Berlin Byways,Berlin Byways (Tour)
DS Peach Gardens,DS Peach Gardens,Peach Gardens (DS)
Merry Mountain,Merry Mountain,Merry Mountain
3DS Rainbow Road,3DS Rainbow Road,Rainbow Road (3DS)
Tour Amsterdam Drift,Tour Amsterdam Drift,Amsterdam Drift (Tour)
GBA Riverside Park,GBA Riverside Park,Riverside Park (GBA)
Wii DK Summit,Wii DK's Snowboard Cross,DK's Snowboard Cross (Wii)
Yoshi's Island,Yoshi's Island,Yoshi's Island
Tour Bangkok Rush,Tour Bangkok Rush,Bangkok Rush (Tour)
DS Mario Circuit,DS Mario Circuit,Mario Circuit (DS)
GCN Waluigi Stadium,GCN Waluigi Stadium,Waluigi Stadium (GCN)
Tour Singapore Speedway,Tour Singapore Speedway,Singapore Speedway (Tour)
Tour Athens Dash,Tour Athens Dash,Athens Dash (Tour)
GCN Daisy Cruiser,GCN Daisy Cruiser,Daisy Cruiser (GCN)
Wii Moonview Highway,Wii Moonview Highway,Moonview Highway (Wii)
Squeaky Clean Sprint,Squeaky Clean Sprint,Squeaky Clean Sprint
Tour Los Angeles Laps,Tour Los Angeles Laps,Los Angeles Laps (Tour)
GBA Sunset Wilds,GBA Sunset Wilds,Sunset Wilds (GBA)
Wii Koopa Cape,Wii Koopa Cape,Koopa Cape (Wii)
Tour Vancouver Velocity,Tour Vancouver Velocity,Vancouver Velocity (Tour)
Tour Rome Avanti,Tour Rome Avanti,Rome Avanti (Tour)
GCN DK Mountain,GCN DK Mountain,DK Mountain (GCN)
Wii Daisy Circuit,Wii Daisy Circuit,Daisy Circuit (Wii)
Piranha Plant Cove,Piranha Plant Cove,Piranha Plant Cove
Tour Madrid Drive,Tour Madrid Drive,Madrid Drive (Tour)
3DS Rosalina's Ice World,3DS Rosalina's Ice World,Rosalina's Ice World (3DS)
SNES Bowser Castle 3,SNES Bowser Castle 3,Bowser Castle 3 (SNES)
Wii Rainbow Road,Wii Rainbow Road,Rainbow Road (Wii)
