name,game_version
Excitebike Arena,Mario Kart 8 Deluxe
Electrodrome,Mario Kart 8 Deluxe
Water Park,Mario Kart 8 Deluxe
Toad Harbor,Mario Kart 8 Deluxe
SNES Donut Plains 3,Mario Kart 8 Deluxe
GCN Dry Dry Desert,Mario Kart 8 Deluxe
Bone-Dry Dunes,Mario Kart 8 Deluxe
N64 Yoshi Valley,Mario Kart 8 Deluxe
GCN Yoshi Circuit,Mario Kart 8 Deluxe
Animal Crossing,Mario Kart 8 Deluxe
Big Blue,Mario Kart 8 Deluxe
3DS DK Jungle,Mario Kart 8 Deluxe
N64 Rainbow Road,Mario Kart 8 Deluxe
GBA Cheese Land,Mario Kart 8 Deluxe
Wild Woods,Mario Kart 8 Deluxe
GBA Mario Circuit,Mario Kart 8 Deluxe
Sunshine Airport,Mario Kart 8 Deluxe
Mario Circuit,Mario Kart 8 Deluxe
Super Bell Subway,Mario Kart 8 Deluxe
Sweet Sweet Canyon,Mario Kart 8 Deluxe
Cloudtop Cruise,Mario Kart 8 Deluxe
Shy Guy Falls,Mario Kart 8 Deluxe
GCN Sherbet Land,Mario Kart 8 Deluxe
Mario Kart Stadium,Mario Kart 8 Deluxe
Mount Wario,Mario Kart 8 Deluxe
Bowser's Castle,Mario Kart 8 Deluxe
Mute City,Mario Kart 8 Deluxe
3DS Piranha Plant Slide,Mario Kart 8 Deluxe
DS Wario Stadium,Mario Kart 8 Deluxe
Thwomp Ruins,Mario Kart 8 Deluxe
Wii Grumble Volcano,Mario Kart 8 Deluxe
Twisted Mansion,Mario Kart 8 Deluxe
Rainbow Road,Mario Kart 8 Deluxe
GBA Ribbon Road,Mario Kart 8 Deluxe
N64 Royal Raceway,Mario Kart 8 Deluxe
Dragon Driftway,Mario Kart 8 Deluxe
Wii Moo Moo Meadows,Mario Kart 8 Deluxe
DS Cheep Cheep Beach,Mario Kart 8 Deluxe
N64 Toad's Turnpike,Mario Kart 8 Deluxe
3DS Music Park,Mario Kart 8 Deluxe
SNES Rainbow Road,Mario Kart 8 Deluxe
Dolphin Shoals,Mario Kart 8 Deluxe
GCN Baby Park,Mario Kart 8 Deluxe
3DS Neo Bowser City,Mario Kart 8 Deluxe
DS Tick-Tock Clock,Mario Kart 8 Deluxe
Wii Wario's Gold Mine,Mario Kart 8 Deluxe
Ice Ice Outpost,Mario Kart 8 Deluxe
Hyrule Circuit,Mario Kart 8 Deluxe
Paris Promenade (Tour),Mario Kart 8 Deluxe
Toad Circuit (3DS),Mario Kart 8 Deluxe
Choco Mountain (N64),Mario Kart 8 Deluxe
Coconut Mall (Wii),Mario Kart 8 Deluxe
Tokyo Blur (Tour),Mario Kart 8 Deluxe
Shroom Ridge (DS),Mario Kart 8 Deluxe
Sky Garden (GBA),Mario Kart 8 Deluxe
Ninja Hideaway,Mario Kart 8 Deluxe
New York Minute (Tour),Mario Kart 8 Deluxe
Mario Circuit 3 (SNES),Mario Kart 8 Deluxe
Kalimari Desert (N64),Mario Kart 8 Deluxe
Waluigi Pinball (DS),Mario Kart 8 Deluxe
Sydney Sprint (Tour),Mario Kart 8 Deluxe
