vehicle_name,game
B-Dasher,Mario Kart 8 Deluxe
Master Cycle,Mario Kart 8 Deluxe
300 SL Roadster,Mario Kart 8 Deluxe
Master Cycle Zero,Mario Kart 8 Deluxe
Landship,Mario Kart 8 Deluxe
Blue Falcon,Mario Kart 8 Deluxe
Splat Buggy,Mario Kart 8 Deluxe
Prancer,Mario Kart 8 Deluxe
Tanooki Buggy ,Mario Kart 8 Deluxe
Bounder ,Mario Kart 8 Deluxe
Koopa Clown,Mario Kart 8 Deluxe
Sport Bike,Mario Kart 8 Deluxe
City Tripper,Mario Kart 8 Deluxe
Jet Bike,Mario Kart 8 Deluxe
Standard ATV,Mario Kart 8 Deluxe
The Duke,Mario Kart 8 Deluxe
Wild Wiggler,Mario Kart 8 Deluxe
Badwagon,Mario Kart 8 Deluxe
Flame Rider,Mario Kart 8 Deluxe
Mr Scooty ,Mario Kart 8 Deluxe
Yoshi Bike,Mario Kart 8 Deluxe
Teddy Buggy,Mario Kart 8 Deluxe
Buggybud ,Mario Kart 8 Deluxe
Tri-Speeder,Mario Kart 8 Deluxe
GLA,Mario Kart 8 Deluxe
Gold Kart ,Mario Kart 8 Deluxe
Bone Rattler,Mario Kart 8 Deluxe
W 25 Silver Arrow,Mario Kart 8 Deluxe
Streetle,Mario Kart 8 Deluxe
Comet,Mario Kart 8 Deluxe
Varmint,Mario Kart 8 Deluxe
P-Wing,Mario Kart 8 Deluxe
Inkstriker,Mario Kart 8 Deluxe
Sports Coupe,Mario Kart 8 Deluxe
Standard Bike,Mario Kart 8 Deluxe
Tune Thumper,Mario Kart World
Chargin' Truck,Mario Kart World
Loco Moto,Mario Kart World
B Dasher,Mario Kart World
Zoom Buggy,Mario Kart World
Billdozer,Mario Kart World
Cute Scoot,Mario Kart World
Dread Sled,Mario Kart World
Lobster Roller,Mario Kart World
Standard Kart,Mario Kart World
Bumble V,Mario Kart World
Funky Dorrie,Mario Kart World
Stelllar Sled,Mario Kart World
W-Twin Chopper,Mario Kart World
Mach Rocket,Mario Kart World
Ribbit Revster,Mario Kart World
Bowser Bruiser,Mario Kart World
Plushbuggy,Mario Kart World
Dolphin Dasher,Mario Kart World
Roadster Royale,Mario Kart World
Big Horn,Mario Kart World
Pipe Frame,Mario Kart World
Buggybud,Mario Kart World
Reel Racer,Mario Kart World
Carpet Flyer,Mario Kart World
Rally Bike,Mario Kart World
Hot Rod,Mario Kart World
Junkyard Hog,Mario Kart World
Fin Twin,Mario Kart World
Cloud 9,Mario Kart World
Baby Blooper,Mario Kart World
Rally Kart,Mario Kart World
Blastronaut III,Mario Kart World
Mecha Trike,Mario Kart World
Hyper Pipe,Mario Kart World
R.O.B.H.O.G,Mario Kart World
Rally Romper,Mario Kart World
Rallygator,Mario Kart World
Standard Bike,Mario Kart World
Li'l Dumpy,Mario Kart World
